Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2022-01-26 16:12:06.957 +0000,"Success",0:00:01,0,0,0,"20220126_161206.957/LogFile.txt","","",1
2022-01-26 16:13:33.197 +0000,"Success",0:00:00,0,0,0,"20220126_161333.197/LogFile.txt","","",1
2022-01-26 16:14:36.296 +0000,"Success",0:00:00,0,0,0,"20220126_161436.296/LogFile.txt","","",1
2022-01-26 16:22:48.884 +0000,"Success",0:00:00,0,0,0,"20220126_162248.884/LogFile.txt","","",1
2022-01-26 16:24:12.369 +0000,"Success",0:00:00,0,0,0,"20220126_162412.369/LogFile.txt","","",1
2022-01-26 16:24:58.356 +0000,"Success",0:00:00,0,0,0,"20220126_162458.356/LogFile.txt","","",1
2022-01-26 16:25:18.191 +0000,"Success",0:00:00,0,0,0,"20220126_162518.191/LogFile.txt","","",1
